"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","race","democrat","republican","states","forborn","citizen","respid","discrimination","micro_aggression"
"5752",0,0.25609756097561,0.4,0,0.333333333333333,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.666666666666667,0.666666666666667,0,1,1,0,1,1,1,1,0.75,1,"AAPI",0,0,"TX",1,1,1300000049,0,0.333333333333333
"5753",1,0.292682926829268,0.8,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.666666666666667,0,0,0,0,1,1,1,1,0,1,"AAPI",1,0,"CA",1,1,1350000146,1,1
"5754",0,0.0365853658536585,0.8,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,1,0,0,1,0,1,0.75,1,0.75,0.5,0.75,"AAPI",1,0,"LA",0,1,450000067,0,0.333333333333333
"5755",1,0.646341463414634,1,1,0.833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.333333333333333,0.333333333333333,1,1,1,1,1,1,1,1,0,1,"AAPI",0,0,"DE",1,1,1300000228,0,0.222222222222222
"5756",0,0.219512195121951,0.6,1,0.166666666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.666666666666667,0.666666666666667,0,1,1,1,1,1,1,1,0.25,1,"AAPI",1,0,"VA",1,1,1300000031,0,0.111111111111111
"5757",0,0.74390243902439,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0.666666666666667,0,1,0,1,0.75,0.75,0.75,1,0.25,1,"AAPI",0,0,"TX",1,1,1300000067,0,0.111111111111111
"5758",1,0.768292682926829,1,1,0.333333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0.5,0,1,"AAPI",1,0,"IL",1,1,1250000387,0,0.222222222222222
"5759",1,0.560975609756098,0.8,1,0.333333333333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0.75,0,1,0,0,"AAPI",0,1,"NY",1,1,1350000419,1,0.888888888888889
"5760",0,0.146341463414634,0.8,0,0.333333333333333,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0.5,1,1,0.5,1,"AAPI",1,0,"VA",0,1,1300000288,0.166666666666667,0.222222222222222
"5761",1,0,0.4,0,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.666666666666667,1,1,0,1,1,1,1,1,1,1,1,"AAPI",0,0,"VA",1,0,1300000054,0,0.111111111111111
"5762",1,0.646341463414634,1,1,0.833333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.75,1,1,"AAPI",1,0,"NY",1,1,1300000128,0,0.222222222222222
"5763",1,0.634146341463415,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.75,0.25,0.25,0.75,0.25,0,"AAPI",1,0,"MD",1,1,1300000094,0.5,0.555555555555556
"5764",1,0.634146341463415,0.8,1,0.166666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"AAPI",0,0,"TX",1,1,1300000278,0,0.111111111111111
"5765",0,0.390243902439024,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0.666666666666667,0,1,1,0,0.75,1,1,1,0,1,"AAPI",0,0,"MD",1,1,1250000184,0.5,0.444444444444444
"5766",0,0.51219512195122,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,"AAPI",1,0,"VA",1,1,1300000252,0,0.222222222222222
"5767",1,0.158536585365854,0.8,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0.75,0.75,1,0.75,1,"AAPI",0,0,"VA",1,1,1350000160,0.166666666666667,0.222222222222222
"5768",1,0.51219512195122,0.8,1,0.666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.75,0,1,0.75,0.75,1,"AAPI",1,0,"CA",1,0,1350000317,0,0.111111111111111
"5769",0,0.134146341463415,0.8,0,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0.5,1,"AAPI",0,0,"CT",1,1,1350000139,0.166666666666667,0.111111111111111
"5770",0,0.51219512195122,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"AAPI",0,0,"VA",1,1,1300000356,0,0.111111111111111
